case_order,UID,area,TimeZone,job,children,age,income,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,port_modem,tablet,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,bandwidth_gb_year,timely_response,timely_fixes,timely_replacements,reliability,options,respectful_response,courteous_exchange,active_listening,contract_One year,contract_Two Year,internet_service_Fiber Optic,gender_Male,gender_Nonbinary,churn_Yes,log_monthly_charge
4076,0d4cf762248505514c69e4bbe0ca1d6e,Suburban,America/Chicago,Risk manager,8,45,16905.12,7.093203,7,2,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Credit Card (automatic),-1.2089964409788145,0.5789155942573697,-0.8890426342307927,4,4,4,3,4,5,3,3,False,False,False,True,False,True,0.4567382786562327
4077,a7211a6fa520f0a6190160257ac285f3,Urban,America/Detroit,Health physicist,2,27,68836.22,8.653267,14,1,0,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Mailed Check,-1.0308388038090102,1.1059393707275609,-0.7877827519933165,2,2,2,4,4,3,2,2,False,True,False,False,False,True,0.7447616244690588
4078,23f9cd8540d4c9d1f011b560d9403638,Urban,America/New_York,Clinical embryologist,0,27,85712.06,9.18135,14,0,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Bank Transfer(automatic),-1.2517864760158326,1.0446715089317231,-1.2063906020982198,5,4,4,1,4,3,4,4,False,False,True,True,False,True,0.7152371452629406
4079,3c21b6ba869ae357e66a7abea3855263,Rural,America/Chicago,"Programmer, systems",5,55,105157.2,10.80697,7,0,2,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),-0.4995895832734731,1.165656265327533,-0.37665056798855573,2,3,4,3,5,4,3,5,True,False,False,False,False,False,0.772723440383996
4080,74355181b747bdd8d84ec70161a85b88,Suburban,America/New_York,Merchant navy officer,0,44,27249.39,7.387913,15,0,0,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Electronic Check,-1.1618459138536106,0.8147138411795543,-1.1719765559331645,5,5,4,4,2,4,3,4,False,False,True,True,False,True,0.5959277920247019
4081,1d861a6120ba6ebedfc7b41ad3cecf4c,Rural,America/Chicago,Museum/gallery conservator,3,22,37622.41,12.27167,10,0,1,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,-0.8302452002444595,0.5205284327937926,-0.8137098464195125,4,4,4,2,5,2,2,4,True,False,True,True,False,False,0.41905792759464067
4082,c0316bbcc7c2cba618883b71af5b0dc8,Urban,America/New_York,Armed forces technical officer,2,68,23406.73,8.50057,14,1,0,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Mailed Check,-0.8607099119654384,-0.06257468458276387,-0.9959474402152056,3,1,4,5,2,2,5,3,False,False,True,False,False,False,-0.06461818786582882
4083,c650ed853673fd4318ab77d45abc6409,Rural,America/Chicago,Animal technologist,2,50,20655.49,6.544083,18,1,0,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Electronic Check,-1.2418305882569882,-0.23669753328377097,-1.0809682417795121,4,5,5,3,4,4,3,4,False,False,False,True,False,True,-0.27010090853583724
4084,f159b3a726cd9f595f2c3965a877f752,Urban,America/Chicago,"Conservation officer, nature",7,30,91961.79,10.25189,10,1,0,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Mailed Check,-1.1198131285159112,-0.5861169355907644,-0.976311076011018,3,2,3,4,3,2,4,5,False,False,False,False,False,True,-0.8821717981720059
4085,78bf0f0e21b55905d0270660f0fee970,Urban,America/Chicago,Firefighter,2,27,17423.53,10.43299,19,1,0,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Bank Transfer(automatic),-0.9323342441108736,-0.2952244215217505,-0.828057266252316,3,3,4,4,3,3,3,3,True,False,False,False,True,True,-0.34987585524675446
4086,7462d9309e44a8136af7076a34d11ad1,Suburban,America/Chicago,Personal assistant,4,44,34597.28,13.76209,11,0,1,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Mailed Check,-1.0420999762965306,-0.5281699134665545,-0.9159318483114799,3,3,3,4,3,1,3,2,False,False,False,False,False,False,-0.7511363443651075
4087,04188f9053842998a2fdffed439e1ec5,Suburban,America/Chicago,Fashion designer,3,75,46745.03,7.199791,7,3,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-1.2006433221485586,2.4458353011810336,-1.086906030811853,4,4,4,3,3,6,5,4,False,False,True,False,False,True,1.2371663427618853
4088,98220de295dc3dd8d34002bb47c626ec,Suburban,America/New_York,"Nurse, adult",1,61,5917.37,9.930254,13,0,0,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Credit Card (automatic),-0.9611342393925273,-0.759808960070698,-1.0635143668031621,2,3,3,4,3,4,3,4,False,False,False,True,False,True,-1.4263206725744673
4089,c34e762fd3b8116b9f70f88f41dfc4f3,Rural,America/Phoenix,Financial adviser,0,63,43184.08,4.272572,18,1,2,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Credit Card (automatic),-1.0361576670019472,-0.993574182425329,-1.009946247552465,5,5,3,3,3,4,5,4,False,True,False,False,False,False,-5.04743140732029
4090,41f4cd7b393be21dc54713bccf547eeb,Rural,America/Chicago,"Editor, magazine features",0,21,49614.23,6.244054,11,2,1,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Electronic Check,-1.1910292046305744,-0.8186828364651095,-1.1354102221855933,3,3,4,3,4,3,4,2,False,True,False,True,False,False,-1.7075074964529242
4091,d16f56f95d7d3235a0efac9ae6c88e38,Urban,America/Chicago,"Therapist, horticultural",0,34,17736.57,11.61228,14,3,0,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,-1.1842896709609405,-0.2948192138759836,-1.2603253929055647,2,3,4,1,4,2,2,3,True,False,True,True,False,False,-0.34930107482503975
4092,6dbf8b83c328e160ecc8b3c6875d7cbd,Rural,America/New_York,Chartered loss adjuster,4,25,50390.91,13.94531,10,5,0,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Bank Transfer(automatic),-0.8564450641108627,-0.061293855817409905,-0.9412423676470871,4,5,4,4,4,3,4,5,False,True,True,False,False,False,-0.06325279424398257
4093,d908f64a02f54e9675d7ae28d32b3c66,Urban,America/Denver,Landscape architect,1,63,11247.62,10.35743,13,1,2,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Mailed Check,-0.96302870621508,-0.0037823154734204236,-1.0415829961544334,2,2,3,4,3,3,3,3,False,False,True,True,False,True,-0.0037894865163994166
4094,b2d04ee1e5b0881c22cd32ef6992725e,Urban,America/Indiana/Indianapolis,Cartographer,0,37,14828.39,5.318294,15,3,0,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Bank Transfer(automatic),-1.0235082349148366,-0.23659273820296906,-0.8878113511679172,5,6,5,4,4,5,4,4,False,False,False,True,False,True,-0.26996362627581194
4095,79ae80df8690a5cfefef7c2bbf62f7d4,Rural,America/Chicago,Community pharmacist,7,29,86449.72,10.15265,10,0,0,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Bank Transfer(automatic),-1.0806744038080205,-1.4012200604053366,-1.1635141906186206,3,4,3,4,5,2,4,4,False,False,True,True,False,False,
4096,d26ac29f9008367b07445939bba83d68,Suburban,America/Chicago,Theme park manager,3,69,8705.79,10.65674,15,3,2,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Electronic Check,-0.627862153201261,0.46146126769479134,-0.681499466674859,3,5,3,3,4,3,2,3,False,False,True,True,False,False,0.37943680346963937
4097,a015f15a0dbe1c0c72fc1c332fd60c71,Urban,America/Los_Angeles,Investment analyst,6,18,20724.48,11.99485,16,1,0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Credit Card (automatic),-0.8761033767366355,-0.003507519483762699,-0.8442511951540851,3,3,4,4,3,3,4,3,False,False,True,True,False,False,-0.003513685252151122
4098,552c2d2ffd07853dad2af68dd023ca56,Urban,America/Chicago,"Producer, television/film/video",4,70,40643.06,14.47622,7,1,2,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),-0.608301413577748,-0.8193954430145611,-0.7469900391850521,3,3,3,4,3,4,3,5,True,False,True,False,False,False,-1.7114454058400725
4099,6eb0ceaec2d2aa1bb37d182cc0842ada,Rural,America/Chicago,Geophysical data processor,4,55,16035.67,2.265527,12,0,0,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Mailed Check,-1.0705844855375453,1.3392714400815449,-0.9872389473846732,3,4,3,6,3,4,5,5,False,False,False,False,False,True,0.8498395304975114
4100,82f105aefe6a766a04db6e728cfe35f0,Urban,America/Chicago,Podiatrist,1,70,27967.87,7.389506,16,1,0,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Electronic Check,-0.7433208918788293,0.22921673840157164,-0.8512317949278497,4,3,2,3,5,4,6,4,False,False,True,False,False,True,0.20637716849482923
4101,ba81958f5e5dcc0bc9b8e535976a9c84,Rural,America/Indiana/Indianapolis,Technical brewer,2,67,39176.98,8.34145,15,1,0,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Bank Transfer(automatic),-0.8538268552168994,1.688851528179101,-0.7780541943155039,4,3,3,4,1,5,4,5,True,False,True,False,False,False,0.9891141612510455
4102,40c933e6e385a107ee0a7fbb36d97c86,Rural,America/New_York,Tax inspector,1,19,9713.69,8.530739,15,2,0,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Credit Card (automatic),-1.0930862947993203,1.1644662589655397,-0.7810010140475774,2,3,3,3,3,4,4,4,False,True,False,True,False,True,0.7721737994048892
4103,9e57307772b5ecd3ccadacf8bcbc4657,Rural,America/New_York,Clinical molecular geneticist,4,29,7458.91,10.58898,9,2,1,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Electronic Check,-1.0397726710976756,1.1070245820087516,-0.9217266389632023,5,5,5,4,3,5,5,5,True,False,False,False,False,True,0.7452768015830181
4104,b54cbf69b1e3b255e72afd8cdb49307f,Suburban,America/New_York,Advertising copywriter,1,61,18073.63,13.6305,13,0,0,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Bank Transfer(automatic),-0.5189464785240486,0.4621622303463757,-0.5941436597750238,2,2,2,5,4,3,3,4,True,False,True,True,False,False,0.37991631984066687
4105,db5f07b70935aadd96ffb94e3fb24e19,Urban,America/Chicago,Graphic designer,1,32,27492.15,10.04509,12,2,1,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Bank Transfer(automatic),-0.7324456622161376,-0.2948192138759836,-0.7952399451544658,4,4,4,2,5,3,3,4,False,False,True,True,False,False,-0.34930107482503975
4106,7df6ba865abcd92b8681354be313b4fc,Suburban,America/New_York,Chartered accountant,3,28,17931.97,6.216824,13,0,1,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Credit Card (automatic),-0.26663290580909904,1.9211263316067744,0.027494542650404505,3,2,4,6,2,4,2,5,True,False,False,False,False,True,1.071969271907818
4107,526be0d6dfe1819c781163a8246c8eec,Rural,America/Chicago,Cabin crew,1,84,23618.18,5.769435,13,0,0,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Bank Transfer(automatic),-0.8610589812719713,1.6885324853775492,-0.8402728282547984,5,4,4,4,2,4,3,4,False,False,True,True,False,True,0.9889955002809075
4108,a5c90a76887c02223f679a1f68fb3e72,Suburban,America/New_York,"Clinical scientist, histocompatibility and immunogenetics",0,25,14790.79,11.97118,8,1,0,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),-1.1791794173340744,-1.8669750435678607,-1.164567982624137,3,2,2,4,2,4,4,4,False,True,False,True,False,False,
4109,bcf611ee8c4a1f204f8ba9b744c11dbc,Rural,America/Chicago,Meteorologist,2,80,4289.84,11.76163,11,1,2,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Electronic Check,-0.9217043840755694,0.22873700980945702,-1.0724487745415168,2,2,2,5,1,3,3,4,False,False,True,False,False,True,0.20598682054905917
4110,20b001383583da602d41b70f58b19c3e,Suburban,America/New_York,"Surveyor, quantity",0,49,11555.49,4.796898,13,0,0,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Mailed Check,-0.592704860813476,0.811404645405793,-0.6440369332573469,3,3,4,4,4,4,4,3,False,False,True,False,False,False,0.594102591494339
4111,b4cb539bd42c2f79f2cbee694b3a120f,Rural,America/Chicago,"Designer, fashion/clothing",0,61,20646.5,11.00437,11,0,1,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Electronic Check,-1.149909521062857,-0.23653917627278173,-1.0657165989765407,4,3,2,4,4,4,2,2,False,False,False,False,False,False,-0.2698934670646566
4112,f596d6cfb755dcc840a5c051aa5e8603,Rural,America/Chicago,Manufacturing engineer,0,20,84655.31,12.2004,13,1,1,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Electronic Check,-0.7071716073014058,-0.8175952964043446,-0.8420895073631196,3,3,3,4,4,4,3,3,False,True,False,False,False,False,-1.7015274144175088
4113,787fc49122fc5ae206174732856ba3e4,Urban,America/Los_Angeles,Medical physicist,0,61,43528.14,8.861688,12,0,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Mailed Check,-1.209436956610721,0.22990139959614317,-1.288489006249714,3,3,4,2,3,3,4,2,False,False,True,True,False,True,0.20693400324114183
4114,30ae11a34e04bbda7a79ecd1568c1acb,Suburban,America/Chicago,Oceanographer,4,61,31559.08,8.84265,10,0,0,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Electronic Check,-1.055256636719418,-1.0514396972644708,-1.1535367259354976,4,3,4,3,3,5,5,4,True,False,False,True,False,False,
4115,654576ca321fc8d889d0a66e75aac6a3,Rural,America/Chicago,International aid/development worker,3,75,5025.12,1.864676,8,1,0,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Mailed Check,-0.8903248309109245,-0.2948378441125705,-0.9722627049889452,3,3,1,2,4,2,3,3,False,False,False,False,False,True,-0.34932749426676996
4116,055d2476fdc44957cdedacb7a750f82e,Urban,America/Los_Angeles,"Administrator, charities/voluntary organisations",0,37,13342.18,6.544685,11,0,0,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Credit Card (automatic),-0.9384870539211844,-0.7605099227222823,-1.0146788881442674,3,2,3,4,4,4,5,3,False,False,False,True,False,False,-1.429243293980195
4117,d0e69b58e86d10ae94ec3a6f5e6c82d6,Urban,America/Denver,"Surveyor, planning and development",0,45,7324.74,5.80988,17,4,0,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Mailed Check,-0.8620952216835647,-0.761276091201922,-0.7852260515288548,5,6,5,4,2,3,4,3,False,False,False,False,False,True,-1.4324475881142062
4118,a128673aae5026cc4480cdb5d8f7581c,Rural,America/Indiana/Indianapolis,Waste management officer,8,25,6650.96,9.069765,16,0,0,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Mailed Check,-0.8328093279782559,0.6944067596395954,-0.7863132612452068,2,4,2,4,2,3,3,3,False,True,True,False,False,False,0.5273326852571862
4119,f84df3f7cf84bba0cd85a9f725ff77ad,Suburban,America/New_York,Proofreader,3,88,1404.19,4.973597,12,2,0,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Bank Transfer(automatic),-0.8273637711583539,0.3500431377863924,-0.8466639293567494,2,3,3,4,2,4,3,4,False,False,False,False,False,True,0.3001365458556688
4120,276bc5467c1f4bf77d099c2b6b813e1e,Rural,America/New_York,Phytotherapist,3,56,55127.57,10.88425,9,1,0,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Bank Transfer(automatic),-1.0568677636454868,-0.5281699134665545,-0.9626665081513243,5,6,5,3,3,4,4,5,True,False,False,False,False,False,-0.7511363443651075
4121,0bfb569c6b44d5997be7b38e09490e57,Rural,America/New_York,Records manager,0,56,55736.72,4.68229,11,0,1,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Mailed Check,-0.8622918804478087,-0.5857117279449975,-1.0041394057504047,5,4,4,5,3,4,4,3,False,False,True,True,False,False,-0.8811932381560754
4122,743c11c1f6b5e69b3e6e635bc4ded754,Suburban,America/New_York,Commercial/residential surveyor,1,18,37552.63,10.80374,7,1,0,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Mailed Check,-0.6532061732532719,-0.29413921024055895,-0.7003994833527426,4,3,5,2,3,3,4,4,False,False,False,False,False,True,-0.3483372425756024
4123,27199bf6017cd55aefda638139a80746,Urban,America/Detroit,"Surveyor, quantity",3,88,22428.12,7.176,14,2,1,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Bank Transfer(automatic),-1.149052920868602,-1.283700528014704,-1.2967793512092878,3,3,3,3,4,2,3,3,False,False,False,True,False,False,
4124,08b970b35d906568e214c0c4d993606c,Rural,America/Chicago,"Scientist, research (medical)",4,88,9693.38,7.299566,14,2,1,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),-1.0611253502533826,1.4562017912401144,-0.8077794897078459,2,3,3,4,3,4,4,4,True,False,False,False,False,True,0.8986161694667878
4125,b02c7d8445512bd0dcae74bc2d78badf,Suburban,America/Chicago,Management consultant,2,39,19745.98,2.698874,6,2,0,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Electronic Check,-1.12319217991354,-1.05220586574411,-1.0664694892625302,5,4,4,2,3,6,4,4,True,False,False,False,False,False,
4126,71ba1e66c37b7410093fb1b6854cf851,Suburban,America/New_York,"Engineer, technical sales",3,76,47393.32,9.238339,16,1,0,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),-1.001973608583211,-0.8187154393791365,-1.105940637522741,3,4,4,6,2,3,5,5,False,False,False,True,False,True,-1.707687324136815
4127,cf5d93c4cbcb58acc8f35578b19d2548,Urban,America/New_York,"Geneticist, molecular",0,28,31654.75,5.064663,10,4,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Electronic Check,-0.6235114562322945,-0.7015242649083493,-0.5391697386459209,4,5,5,3,4,4,4,3,False,False,False,False,True,False,-1.2090666389288558
4128,5497a781a561b9514307ed59f46875bd,Urban,America/Chicago,"Lecturer, further education",0,64,15719.1,8.301488,15,2,1,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Mailed Check,-1.1452022288077257,-0.003915055909102388,-1.1190726849321309,4,4,4,4,1,6,4,5,False,False,False,False,False,True,-0.003922739802292527
4129,48e2c0ed4f56d7a17f8374daeda782cc,Urban,America/Chicago,Government social research officer,0,40,102072.0,8.191967,5,1,0,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),-0.9693637657532546,0.9319003580911953,-0.7664952607522151,2,3,2,4,4,2,2,2,True,False,False,False,False,True,0.6585041599733578
4130,b1d00fe27a02a08c8ac19f723f77ca98,Suburban,America/Chicago,Chief Strategy Officer,0,87,124493.2,7.228021,14,2,0,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Electronic Check,-1.198045838062827,-0.0042946469795620106,-1.1268727811424115,3,3,3,3,3,2,3,4,False,False,False,True,False,True,-0.004303895464719149
4131,6ff902aebc20feaaaeed945ef58849e3,Rural,America/New_York,Fitness centre manager,1,55,40877.0,9.082762,11,2,1,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),-0.6016259831014589,1.5716952854019142,-0.6075496268478601,5,4,5,3,4,4,3,2,False,False,True,False,False,True,0.9445653255628306
4132,5dd88a4972c602eaf3095bf5a2a5654b,Urban,America/Anchorage,Special educational needs teacher,1,21,17217.29,10.09361,16,1,0,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Bank Transfer(automatic),-1.0549055251872563,1.1644662589655397,-0.746146131458087,5,5,4,3,3,3,3,4,False,True,False,True,False,False,0.7721737994048892
4133,a10d8433f27388e17e91a6e3e2de3208,Rural,America/New_York,Broadcast journalist,3,67,7041.99,12.67518,14,2,0,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Bank Transfer(automatic),-1.141188688162458,-0.993574182425329,-1.0778208258129511,4,3,4,4,3,3,3,5,False,True,False,False,False,False,-5.04743140732029
4134,75a6def524c6abd9cf2b09ea8d5dfab3,Rural,America/Chicago,Proofreader,1,71,15666.43,12.72884,12,1,0,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),-0.7532048857317452,-0.5281699134665545,-0.6907379900016439,4,5,5,3,3,5,5,5,True,False,False,True,False,False,-0.7511363443651075
4135,5587dd232c41149aebc9d590a12b927f,Rural,America/Chicago,"Civil engineer, consulting",0,63,48167.78,6.733381,14,0,1,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Mailed Check,-1.123963914287225,-0.7019434452315562,-1.020383485998931,5,6,5,5,2,5,4,5,False,False,False,True,False,True,-1.2104720293807274
4136,d6af1e3fd82758eaecc7f89fba839deb,Urban,America/Chicago,Meteorologist,1,19,3379.82,12.36091,10,0,0,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Electronic Check,-0.4684970762666383,1.6305808056941924,-0.35501608562449477,4,4,3,3,4,5,4,3,False,False,False,True,False,True,0.9672046604753975
4137,766c436d19c42b67498acf2bcf73d423,Suburban,America/Detroit,Barrister's clerk,3,41,43886.72,13.93891,11,1,0,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Electronic Check,-1.1043352517520617,-1.8072569845781017,-1.1879497722312446,4,5,5,4,4,5,3,3,False,False,False,True,False,False,
4138,fb64fb106351583461edfe25d9848cc1,Suburban,America/New_York,Oncologist,3,24,28683.49,10.35052,12,0,0,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Electronic Check,-0.9253750955481694,-0.6442362874034037,-1.025460312459969,6,5,7,5,2,5,5,5,False,False,True,True,False,False,-1.0334884971567346
4139,2dfe43f0961d92e97c9c816be298003d,Suburban,America/New_York,"Designer, television/film set",0,77,111143.1,14.58033,14,1,1,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Credit Card (automatic),-1.1113281348566324,1.5716952854019142,-1.1384752288587563,4,3,5,2,6,2,3,2,True,False,True,True,False,True,0.9445653255628306
4140,3f645af02253c94c260bbf4d05d988b7,Urban,America/Chicago,Careers adviser,0,65,42739.62,12.93123,15,2,0,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Mailed Check,-0.6546618262986087,0.17053149315260288,-0.787757887743628,2,2,2,4,4,2,3,1,False,True,True,True,False,False,0.15745791331314912
4141,d818c60d7808ae940eb1d81437e290fd,Urban,America/Chicago,"Radiographer, diagnostic",1,42,22986.69,8.081848,16,0,0,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Electronic Check,-1.1172373525322326,-0.23669753328377097,-0.959520660930239,4,4,3,3,3,3,3,3,False,True,False,True,False,False,-0.27010090853583724
4142,aaf658e9593b22e5a0fde1d061898001,Rural,America/New_York,Analytical chemist,3,43,35590.37,7.51567,9,2,0,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Mailed Check,-1.2144506205291485,-1.3427513916566918,-1.338090746095542,3,3,3,2,3,4,4,4,False,False,False,False,False,False,
4143,d169213c683ac2d73f0ed082c3a24c85,Rural,America/Chicago,Herbalist,0,61,28963.75,11.7278,7,1,2,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Credit Card (automatic),-0.36245488868697523,-0.8193954430145611,-0.5245519015066573,3,2,3,2,4,2,2,1,False,False,True,True,False,False,-1.7114454058400725
4144,37c0c1ebaffd51279e1c7379d08600de,Suburban,America/New_York,Film/video editor,2,27,12211.88,12.2056,15,0,0,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Electronic Check,-1.234358651966518,-0.004208482135347705,-1.2648514495334664,2,2,2,4,4,2,4,2,False,True,True,True,False,False,-0.004217362720904415
4145,ad7d9b15508afcbb749d6e9182063cea,Urban,America/Chicago,Radio broadcast assistant,0,76,82481.35,17.1044,7,3,0,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Electronic Check,-1.0564318619307416,-0.8193954430145611,-1.2566587058034941,4,3,3,3,2,4,3,3,False,False,True,False,False,False,-1.7114454058400725
4146,b374aaed9bf79d721fe64ecffc18e888,Rural,America/Chicago,Diagnostic radiographer,1,86,59196.24,8.270133,17,1,1,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Electronic Check,-1.1486204228632377,-1.0514396972644708,-1.3635353577489902,4,4,2,5,4,3,3,4,False,False,False,False,False,True,
4147,8b635c43135cf972b2a4c5eda313c55b,Urban,America/New_York,Acupuncturist,0,77,25859.59,7.868103,9,1,0,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),-0.9115779704767296,-0.8187154393791365,-1.0816120882379932,3,2,2,3,4,3,2,4,False,False,False,False,False,True,-1.707687324136815
4148,90240302d8cdf7da6f4d1720dd5d0792,Rural,America/Chicago,Web designer,3,44,13836.46,12.19131,10,0,0,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Credit Card (automatic),-1.0919492289520587,-1.5756642806874692,-1.0623459054067597,3,4,4,2,4,3,5,3,False,False,False,True,False,False,
4149,dca22d8fe6fbea3925afa092cfc6bd23,Suburban,America/Chicago,Mechanical engineer,3,22,91563.15,11.94875,13,1,1,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Bank Transfer(automatic),-1.20562797889926,-1.05220586574411,-1.1086088102125715,3,4,4,2,4,3,2,2,False,False,False,False,False,False,
4150,883ade25ef8d113be94d8d3f8643c02c,Urban,America/Chicago,Metallurgist,4,67,61117.27,10.46827,13,1,1,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Electronic Check,-0.9058854556317291,-1.0509553111132093,-1.0537681680607807,3,2,2,3,5,3,4,4,True,False,True,False,False,False,
4151,7be32cdc57245114f9b4ee118770f008,Rural,America/Los_Angeles,Jewellery designer,3,58,14656.97,7.353482,17,0,0,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Mailed Check,-0.9137979453730992,-1.0513628475385493,-0.8790101202187577,2,4,3,4,3,3,3,5,False,False,False,False,False,False,
4152,62201f1666e28b2295f873f707cef425,Suburban,America/Chicago,"Administrator, sports",2,48,81945.11,4.736819,12,1,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Electronic Check,-1.0858468696785752,0.46258141066958264,-1.1883633032860985,3,5,3,4,2,5,5,4,True,False,True,False,False,False,0.380202963989712
4153,648b8827d072a06b1d0743865397bbd6,Urban,America/Los_Angeles,Health visitor,7,85,47066.46,10.93225,9,0,1,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Bank Transfer(automatic),-0.5515131698828507,-1.0509553111132093,-0.6495005767493127,3,4,2,2,5,2,2,3,False,True,True,True,False,False,
4154,652845a6b6dba705e991307dc56df298,Urban,America/Chicago,Records manager,2,83,17786.67,9.332735,13,4,0,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Credit Card (automatic),-0.8280724990894948,-0.5864499510697564,-0.9914498501397231,4,5,5,3,4,4,3,2,True,False,True,True,False,False,-0.8829767345266283
